0,1,2,3,4
ES,cells,were,treated,with
Z-VAD-FMK.,Cells,were,released,into
qPCR,experiments,were,performed,with
genes,that,were,marked,by
target,genes,were,expressed,immediately
target,genes,are,expressed,at
the,proteasome,were,required,for
cell,identity,is,preserved,through
genes,and,have,vital,roles
nuclear,transfer,are,more,efficient
and,should,be,tested,for
code,availability,are,available,at
K4,and,is,essential,for
Anaphase,initiation,is,regulated,by
statistical,methods,were,used,to
The,experiments,were,not,randomized
and,investigators,were,not,blinded
HeLa,cells,were,maintained,in
Plasmid,transfections,were,performed,using
siRNA,transfections,were,performed,using
13778150).,Lentiviruses,were,produced,in
11668027).,Viruses,were,collected,48
HEK293T,cells,were,purchased,directly
HeLa,cells,were,not,authenticated.
"(WiCell,",WA01/H1),were,grown,in
H1,cells,were,passaged,by
single,cells,were,required.,For
H1,cells,were,generated,by
105,cells,were,seeded,on
H1,cells,were,generated,by
105,cells,were,seeded,on
The,medium,was,immediately,exchanged
ES,cells,were,drug-selected,24–48
H1,cells,were,positive,for
cell,lines,were,routinely,tested
OCT4,locus,was,targeted,for
(puromycin,"N-acetyltransferase),",was,generated,at
H1,cells,were,generated,by
107,cells,were,resuspended,in
T8).,Cells,were,electroporated,in
Electroporated,cells,were,immediately,resuspended
H1,cells,were,selected,for
electroporation.,Colonies,were,manually,scored
OCT4,locus,was,fused,with
Karyotype,analysis,was,performed,by
ES,cells,were,performed,as
H1,cells,were,gener-ated,by
6,cells,were,seeded,in
Y-27632.,Cells,were,treated,with
shRNA,library,was,constructed,as
shRNA,library,was,divided,into
ES,cells,were,infected,with
ES,cells,were,then,sorted
Berkeley.,Cells,were,sorted,on
Sequencing,libraries,were,prepared,from
HeLa,cells,were,first,synchronized
S-phase,cells,were,washed,with
released,cells,were,treated,with
prometaphase,cells,were,collected,by
prometaphase,cells,were,released,into
"studies,",cells,were,released,into
HeLa,cells,were,transfected,with
H1,cells,was,achieved,by
APC/C–WDR5,complexes,were,purified,from
HeLa,cells,were,first,PEI-transfected
prometaphase,pellets,were,lysed,in
lysed,cells,were,then,subjected
clarified,extract,was,precleared,with
11719416001).,APC/C,was,purified,with
and,APC/C–WDR5,was,purified,with
APC/C-coupled,beads,were,washed,5×
and,WDR5(ΔWIN),were,cloned,into
Transformed,cells,were,grown,at
Collected,cells,were,resuspended,with
clarified,extract,was,supplemented,with
The,resin,was,then,washed
The,elutions,were,"pooled,",dialysed
its,variants,were,cloned,into
Transformed,cells,were,grown,at
Induced,cells,were,"centrifuged,",resuspended
clarified,extract,was,supplemented,with
The,resin,was,then,washed
The,eluate,was,desalted,using
use.,p97,was,cloned,into
Transformed,cells,were,grown,at
Induced,cells,were,"centrifuged,",resuspended
clarified,extract,was,bound,to
The,resin,was,then,washed
and,6×His–UBXN7,were,purified,using
synthesized,substrates,were,cloned,under
plasmids,can,be,found,in
35S-labelled,substrates,were,generated,by
°C.,Reactions,were,terminated,by
35S-labelled,substrates,were,used,for
ubiquitylation,assays,were,performed,in
or,recombinant),were,premixed,and
complexes’).,Reactions,were,performed,at
otherwise.,Reactions,were,stopped,by
and,UBE2S,were,purified,as
"(EpiCypher,",16-0003),were,used,at
35S-labelled,substrate,was,diluted,down
The,binding,was,performed,for
amylose,resin,was,subsequently,washed
bound,prey,was,eluted,with
p97,resin,was,made,by
The,resin,was,washed,3×
vitro,ubiquitylation’),were,added,to
APC/C,complexes,were,first,purified
leimidobutane,(BMB),was,prepared,in
recombinant,MBP–WDR5,was,pretreated,with
APC/C–WDR5,complexes’),was,mixed,with
shaking.,Reactions,were,stopped,by
ubiquitin,immunoprecipitations,were,performed,from
confluent,cells,were,collected,and
Clarified,extracts,were,incubated,with
temperature.,Beads,were,washed,10×
Mass,spectrometry,was,performed,on
HEK293T,cells,were,PEI-transfected,(if
Lysed,extracts,were,clarified,by
proteins).,Immunoprecipitates,were,then,washed
X-100.,Elutions,were,pooled,and
acid.,Immunoprecipitates,were,then,"pelleted,"
digested,samples,were,submitted,to
analysis.,Peptides,were,processed,using
spectrometry,result,was,performed,against
"labelling,",samples,were,prepared,in
"however,",samples,were,desalted,using
reader.,Peptides,were,then,normalized
TMT,labelling,was,per,-
Labelled,peptides,were,combined,in
neural,conversion,were,seeded,on
X-100.,Images,were,taken,on
H1,cells,were,transfected,with
"transfection,",cells,were,imaged,every
Mitotic,cells,were,identified,manually.
single-cell,suspensions,were,generated,with
Single,cells,were,filtered,through
Cytometry,data,were,processed,using
analysis,Cells,were,resuspended,in
Crosslinking,reactions,were,quenched,with
Crosslinked,cells,were,washed,twice
Collected,pellets,were,resuspended,in
"2,000g.",Pellets,were,washed,4×
Sonicated,extracts,were,clarified,by
ChIP,extracts,were,diluted,10-fold
°C.,Antibodies,were,pulled,down
resin.,Beads,were,washed,twice
TE.,Samples,were,eluted,twice
TE.,Eluates,were,"pooled,",treated
°C.,Samples,were,then,treated
pended,samples,were,quantified,using
study,can,be,found,in
total,RNA,was,purified,from
Expression,levels,were,quantified,using
study,can,be,found,in
"analysis,",samples,were,prepared,as
.,Libraries,were,con,-
ChIP,peaks,were,called,with
Downstream,analyses,were,performed,using
ES,cells,were,collected,by
Single-cell,suspensions,were,crosslinked,with
Frozen,pellets,were,resuspended,in
MNase-digested,chromatin,was,precleared,with
°C.,Antibodies,were,immunoprecipi,-
dynabeads.,Beads,were,washed,twice
TE.,Samples,were,eluted,twice
TE.,Eluates,were,"pooled,",treated
°C.,Samples,were,then,treated
sample,preparation’),was,quanti-,fied
purified,DNA,was,resuspended,up
of,water,were,added,to
min.,Samples,were,purified,with
of,water,were,added,to
min.,Samples,were,purified,with
of,water,were,added,to
h.,Samples,were,purified,with
adaptor-ligated,DNA,was,used,for
library,construction’),were,multiplexed,and
sequencing,runs,were,performed,against
ChIP,peaks,were,called,with
Downstream,analyses,were,performed,using
Total,RNA,was,purified,from
Total,RNA,was,poly(A)-,selected
sequencing,libraries,were,constructed,using
Berkeley.,Libraries,were,sequenced,by
Gene-expression,analysis,was,performed,using
ChIP,peaks,were,subjected,to
enrichment,analyses,were,performed,using
SAGE,data,was,performed,using
mimic,phosphorylation38,was,purified,as
and,CDC20,were,expressed,independently
Cleared,lysate,was,treated,to
containing,APC/C–CDC20,were,combined,with
This,mixture,was,further,purified
Flag,immunoprecipitations,was,loaded,onto
-,tion,was,performed,at
the,solution,was,subsequently,fraction-ated.
APC/C,particles,were,allowed,to
solution.,Micrographs,were,collected,on
nominal,magnification,was,"45,000×,",resulting
and,data,were,collected,in
μM.,Particles,were,autopicked,using
function,parameters,were,determined,using
"Relion,",particles,were,extracted,from
class,averages,were,removed,before
Structural,modelling,was,performed,using
in,Relion,was,superimposed,with
"domains39,46,",which,are,known,to
known,to,be,mobile,and
